"CriticId";"display_name";"sort_name";"status";"bio";"seo_name";"multimediaId"
1887;"A. O. Scott";"A. O. Scott";"full-time";"A. O. Scott joined The New York Times as a film critic in January 2000, and was named a chief critic in 2004. Previously, Mr. Scott had been the lead Sunday book reviewer for Newsday and a frequent contributor to Slate, The New York Review of Books, and many other publications. 
<br/><br/>
In the 1990s he served on the editorial staffs of Lingua Franca and The New York Review of Books. He also edited ""A Bolt from the Blue and Other Essays,"" a collection by Mary McCarthy, which was published by The New York Review of Books in 2002. 
<br/><br/>
Mr. Scott was a finalist for the Pulitzer Prize in Criticism in 2010, the same year he served as co-host (with Michael Phillips of the Chicago Tribune) on the last season of ""At the Movies,"" the syndicated film-reviewing program started by Roger Ebert and Gene Siskel.
<br/><br/>
A frequent presence on radio and television, Mr. Scott is Distinguished Professor of Film Criticism at Wesleyan University and the author of Better Living Through Criticism, forthcoming in 2016 from The Penguin Press. A collection of his film writing will be published by Penguin in 2017. 
<br/><br/>
He lives in Brooklyn with his family.";"";627
1888;"Renata Adler";"Adler, Renata";"part-time";"";"";-1
1889;"Robert Alden";"Alden, Robert";"";"";"";-1
1890;"Eugene Archer";"Archer, Eugene";"part-time";"";"";-1
1891;"Miriam Bale";"Bale, Miriam";"part-time";"";"";-1
1892;"Felicity Barringer";"Barringer, Felicity";"part-time";"";"";-1
1893;"Richard Bernstein";"Bernstein, Richard";"";"";"";-1
1894;"Ben Brantley";"Brantley, Ben";"part-time";"";"";-1
1895;"D. J. R. Bruckner";"Bruckner, D. J. R. ";"part-time";"";"";-1
1896;"Paul Brunick";"Brunick, Pual";"part-time";"";"";-1
1897;"Tom Buckley";"Buckley, Tom ";"part-time";"";"";-1
1898;"Kevin Cahillane";"Cahillane, Kevin";"";"";"";-1
1899;"Vincent Canby";"Canby, Vincent";"part-time";"";"";-1
1900;"Jeannette Catsoulis";"Catsoulis, Jeannette";"part-time";"";"";-1
1901;"Carina Chocano";"Chocano, Carina";"part-time";"";"";-1
1902;"John Corry";"Corry, John";"";"";"";-1
1903;"B. R. Crisler";"Crisler, B. R.";"part-time";"";"";-1
1904;"Bosley Crowther";"Crowther, Bosley";"part-time";"";"";-1
1905;"Nina Darnton";"Darnton, Nina";"";"";"";-1
1906;"David DeWitt";"DeWitt, David";"part-time";"";"";-1
1907;"Jennifer Dunning";"Dunning, Jennifer";"";"";"";-1
1908;"Richard Eder";"Eder, Richard";"part-time";"";"";-1
1909;"Anita Gates";"Gates, Anita";"part-time";"";"";-1
1910;"Neil Genzlinger";"Genzlinger, Neil";"part-time";"";"";-1
1911;"Morris Gilbert";"Gilbert, Morris";"";"";"";-1
1912;"Harry Gilroy";"Gilroy, Harry";"";"";"";-1
1913;"Daniel M. Gold";"Gold, Daniel M.";"part-time";"";"";-1
1914;"Walter Goodman";"Goodman, Walter";"part-time";"";"";-1
1915;"Jack Gould";"Gould, Jack";"part-time";"";"";-1
1916;"Roger Greenspun";"Greenspun, Roger";"part-time";"";"";-1
1917;"Mike Hale";"Hale, Mike";"part-time";"";"";-1
1918;"Mordaunt Hall";"Hall, Mordaunt ";"part-time";"";"";-1
1919;"Donal J. Henahan";"Henahan, Donal J.";"part-time";"";"";-1
1920;"Nicole Herrington";"Herrington, Nicole";"part-time";"";"";-1
1921;"Caryn James";"James, Caryn";"part-time";"";"";-1
1922;"Stanley Kauffman";"Kauffman, Stanley";"part-time";"";"";-1
1923;"Dave Kehr";"Kehr, Dave";"part-time";"";"";-1
1924;"Ben Kenigsberg";"Kenigsberg, Ben";"part-time";"";"";-1
1925;"Laura Kern";"Kern, Laura";"part-time";"";"";-1
1926;"Peter Kihss";"Kihss, Peter";"part-time";"";"";-1
1927;"Wayne King";"King, Wayne";"part-time";"";"";-1
1928;"Anna Kisselgoff";"Kisselgoff, Anna";"";"";"";-1
1929;"Hilton Kramer";"Kramer, Hilton";"part-time";"";"";-1
1930;"Nathan Lee";"Lee, Nathan";"part-time";"";"";-1
1931;"Manohla Dargis";"Manohla Dargis";"full-time";"Manohla Dargis is the co-chief film critic for The Times, where she started in 2004. She has also written for The Los Angeles Times, where she was a chief film critic, and for the LA Weekly, where she was both a film critic and the film editor. She lives in Los Angeles.";"";-1
1932;"Ernest Marshall";"Marshall, Ernest";"";"";"";-1
1933;"Ned Martel";"Martel, Ned";"part-time";"";"";-1
1934;"Janet Maslin";"Maslin, Janet";"part-time";"";"";-1
1935;"Herbert L. Matthews";"Matthews, Herbert L.";"";"";"";-1
1936;"Patricia S. McCormick";"McCormick, Patricia S.";"";"";"";-1
1937;"John T. McManus";"McManus, John T.";"part-time";"";"";-1
1938;"W. L. Middleton";"Middleton, W. L.";"";"";"";-1
1939;"Elvis Mitchell";"Mitchell, Elvis";"part-time";"";"";-1
1940;"Herbert Mitgang";"Mitgang, Herbert";"";"";"";-1
1941;"Charles Morgan";"Morgan, Charles";"";"";"";-1
1942;"Richard W. Nason";"Nason, Richard W.";"";"";"";-1
1943;"Victor Navasky";"Navasky, Victor";"part-time";"";"";-1
1944;"Peter M. Nichols";"Nichols, Peter M.";"";"";"";-1
1945;"Holcomb B. Noble";"Noble, Holcomb B.";"part-time";"";"";-1
1946;"Frank S. Nugent";"Nugent, Frank S.";"part-time";"";"";-1
1947;"Suzanne O'Connor";"O'Connor, Suzanne";"part-time";"";"";-1
1948;"Jon Pareles";"Pareles, John";"";"";"";-1
1949;"Thomas M. Pryor";"Pryor, Thomas M.";"part-time";"";"";-1
1950;"Nicolas Rapold";"Rapold, Nicolas";"part-time";"";"";-1
1951;"Julie Salamon";"Salamon, Julie";"";"";"";-1
1952;"Rachel Saltz";"Saltz, Rachel";"part-time";"";"";-1
1953;"Nora Sayre";"Sayre, Nora";"part-time";"";"";-1
1954;"Harold C. Schonberg";"Schonberg, Harold C.";"part-time";"";"";-1
1955;"Matt Zoller Seitz";"Seitz, Matt Zoller";"part-time";"";"";-1
1956;"Andre Sennwald";"Sennwald, Andre";"part-time";"";"";-1
1957;"Richard F. Shepard";"Shepard, Richard F.";"";"";"";-1
1958;"Harry T. Smith";"Smith, Harry T.";"";"";"";-1
1959;"Stephen Holden";"Stephen Holden";"full-time";"Stephen Holden is a film and music critic for The Times; he joined the culture staff in 1988. Prior to that, he was a pop music critic and journalist for Rolling Stone, The Village Voice, and numerous other magazines and anthologies. Drawing on his experiences as a journalist and record executive, he wrote a satirical novel about the record business, ""Triple Platinum,""  that was published in 1980 by Dell Books. In 1986, he won a Grammy with six other writers for Best Album Notes for ""The Voice: The Columbia Years, a Frank Sinatra Anthology."" Born July 18, 1941, Mr. Holden graduated from Yale University in 1963 with a Bachelor of Arts degree in English and was elected Class Poet.";"";628
1960;"Michael Stern";"Stern, Michael";"part-time";"";"";-1
1961;"Dana Stevens";"Stevens, Dana";"part-time";"";"";-1
1962;"Theodore Strauss";"Strauss, Theodore";"part-time";"";"";-1
1963;"Dan Sullivan";"Sullivan, Dan";"";"";"";-1
1964;"Howard Thompson";"Thompson, Howard";"part-time";"";"";-1
1965;"C. Hooper Trask";"Trask, C. Hooper";"";"";"";-1
1966;"Lawrence Van Gelder";"Van Gelder, Lawrence";"part-time";"";"";-1
1967;"Andy Webster";"Webster, Andy";"part-time";"";"";-1
1968;"A. H. Weiler";"Weiler, A. H.";"part-time";"";"";-1
