"Linkid";"type";"url";"suggested_link_text"
2247;"article";"https://www.nytimes.com/2022/11/10/movies/the-box-review.html";"Read the New York Times Review of The Box"
2248;"article";"https://www.nytimes.com/2022/11/10/movies/a-couple-review.html";"Read the New York Times Review of A Couple"
2249;"article";"https://www.nytimes.com/2022/11/10/movies/the-fabelmans-review-spielberg.html";"Read the New York Times Review of The Fabelmans"
2250;"article";"https://www.nytimes.com/2022/11/08/movies/incredible-but-true-review.html";"Read the New York Times Review of Incredible But True"
2251;"article";"https://www.nytimes.com/2022/11/03/movies/weird-the-al-yankovic-story-review.html";"Read the New York Times Review of Weird: The Al Yankovic Story"
2252;"article";"https://www.nytimes.com/2022/11/03/movies/good-night-oppy-review.html";"Read the New York Times Review of Good Night Oppy"
2253;"article";"https://www.nytimes.com/2022/11/02/movies/selena-gomez-my-mind-and-me-review.html";"Read the New York Times Review of Selena Gomez: My Mind & Me"
2254;"article";"https://www.nytimes.com/2022/10/27/movies/armageddon-time-review.html";"Read the New York Times Review of Armageddon Time"
2255;"article";"https://www.nytimes.com/2022/10/27/movies/the-novelists-film-review.html";"Read the New York Times Review of The Novelist's Film"
2256;"article";"https://www.nytimes.com/2022/10/20/movies/descendant-review-clotilda-slave-ship.html";"Read the New York Times Review of Descendant"
2257;"article";"https://www.nytimes.com/2022/10/20/movies/all-that-breathes-review.html";"Read the New York Times Review of All That Breathes"
2258;"article";"https://www.nytimes.com/2022/10/20/movies/aftersun-review.html";"Read the New York Times Review of Aftersun"
2259;"article";"https://www.nytimes.com/2022/10/13/movies/decision-to-leave-review-park-chan-wook.html";"Read the New York Times Review of Decision to Leave"
2260;"article";"https://www.nytimes.com/2022/10/13/movies/till-review.html";"Read the New York Times Review of Till"
